Date,Open,High,Low,Close,Adj Close,Volume
2019-05-08,78.879997,79.000000,78.459999,78.599998,64.913101,401300
2019-05-09,78.250000,78.870003,77.980003,78.750000,65.036972,907800
2019-05-10,78.639999,78.860001,77.760002,78.589996,64.904846,704100
2019-05-13,77.580002,77.750000,77.160004,77.489998,63.996387,1994800
2019-05-14,77.540001,78.199997,77.089996,77.739998,64.202881,556400
2019-05-15,77.400002,78.029999,77.129997,77.949997,64.376297,526200
2019-05-16,78.129997,78.459999,77.910004,78.239998,64.615791,635300
2019-05-17,77.779999,78.269997,77.459999,78.059998,64.467133,829700
2019-05-20,77.830002,78.620003,77.830002,78.239998,64.615791,1138700
2019-05-21,78.610001,78.620003,77.970001,78.419998,64.764442,651400
2019-05-22,78.360001,78.510002,77.910004,78.389999,64.739662,818500
2019-05-23,77.300003,77.470001,75.330002,76.160004,62.897987,1211300
2019-05-24,76.959999,77.690002,76.559998,77.260002,63.806442,770700
2019-05-28,77.410004,77.860001,76.839996,76.839996,63.459572,757200
2019-05-29,76.389999,76.680000,75.720001,76.000000,62.765842,705800
2019-05-30,76.220001,76.639999,75.620003,75.970001,62.741062,665400
2019-05-31,75.330002,75.410004,74.889999,75.150002,62.063854,781500
2019-06-03,75.199997,75.839996,75.019997,75.680000,62.501556,1170600
2019-06-04,76.169998,76.980003,75.889999,76.910004,63.517395,734500
2019-06-05,77.099998,77.239998,76.459999,77.080002,63.657795,661000
2019-06-06,77.309998,77.489998,76.930000,77.169998,63.732113,486000
2019-06-07,77.680000,77.910004,77.570000,77.669998,64.145035,1190000
2019-06-10,77.980003,78.199997,77.790001,77.900002,64.335014,369500
2019-06-11,78.150002,78.339996,77.290001,77.680000,64.153305,1935900
2019-06-12,77.470001,77.580002,76.690002,76.779999,63.410034,635100
2019-06-13,76.769997,77.610001,76.730003,77.269997,63.814690,628100
2019-06-14,77.059998,77.349998,76.599998,77.209999,63.765141,439200
2019-06-17,77.250000,77.739998,77.089996,77.239998,63.789921,371800
2019-06-18,77.589996,78.820000,77.550003,78.720001,65.012207,677800
2019-06-19,78.800003,79.290001,78.750000,79.169998,65.383850,502700
2019-06-20,79.930000,80.099998,79.320000,79.919998,66.003242,853000
2019-06-21,79.800003,79.949997,79.480003,79.510002,65.664635,626800
2019-06-24,79.669998,79.970001,79.529999,79.639999,65.772003,821600
2019-06-25,79.459999,79.730003,78.919998,79.120003,65.342552,741500
2019-06-26,79.190002,79.440002,78.800003,79.110001,65.334297,682000
2019-06-27,79.180000,79.480003,78.889999,78.989998,65.235191,499000
2019-06-28,79.470001,79.589996,79.169998,79.400002,65.573784,754200
2019-07-01,79.800003,80.129997,79.510002,79.669998,65.796783,419600
2019-07-02,79.889999,80.169998,79.680000,79.949997,66.028008,2491400
2019-07-03,80.290001,80.889999,80.260002,80.739998,66.680466,2593700
2019-07-05,80.540001,80.870003,80.360001,80.870003,66.787804,1113100
2019-07-08,80.500000,80.589996,80.220001,80.360001,66.366623,1384400
2019-07-09,79.870003,80.459999,79.870003,80.389999,66.391411,631800
2019-07-10,80.750000,81.000000,80.269997,80.389999,66.391411,800400
2019-07-11,80.330002,80.650002,80.129997,80.379997,66.383141,538200
2019-07-12,80.629997,80.629997,79.870003,80.040001,66.102348,556600
2019-07-15,80.099998,80.250000,79.620003,79.889999,65.978470,652500
2019-07-16,80.129997,80.370003,79.790001,79.879997,65.970215,585000
2019-07-17,79.930000,80.169998,79.639999,79.889999,65.978470,586700
2019-07-18,79.660004,80.300003,79.639999,80.250000,66.275780,629200
2019-07-19,80.120003,80.610001,80.000000,80.320000,66.333603,822800
2019-07-22,80.199997,80.500000,79.639999,79.900002,65.986725,1537900
2019-07-23,79.940002,80.389999,79.809998,80.269997,66.292290,694400
2019-07-24,79.500000,79.919998,79.220001,79.860001,66.597504,667700
2019-07-25,79.949997,79.949997,79.150002,79.400002,66.213905,533200
2019-07-26,79.570000,79.680000,79.239998,79.550003,66.338989,502100
2019-07-29,79.550003,79.970001,79.430000,79.620003,66.397377,500200
2019-07-30,79.040001,79.239998,78.750000,79.239998,66.080475,504900
2019-07-31,79.209999,79.480003,78.330002,78.910004,65.805290,722800
2019-08-01,78.699997,78.940002,77.660004,77.769997,64.854607,738500
2019-08-02,77.400002,77.690002,76.500000,77.309998,64.471008,1016400
2019-08-05,76.320000,76.389999,75.730003,75.959999,63.345192,1150800
2019-08-06,76.220001,76.389999,75.089996,76.059998,63.428574,2279500
2019-08-07,75.199997,76.419998,74.949997,76.169998,63.520313,1666100
2019-08-08,76.589996,77.430000,76.300003,76.970001,64.187469,641300
2019-08-09,76.940002,77.139999,76.209999,76.500000,63.795513,682700
2019-08-12,75.879997,76.089996,75.220001,75.480003,62.944912,509100
2019-08-13,75.099998,76.550003,74.970001,76.129997,63.486958,1184400
2019-08-14,75.000000,75.370003,73.989998,74.160004,61.844124,1009100
2019-08-15,74.120003,74.440002,73.610001,74.129997,61.819103,771400
2019-08-16,74.900002,75.419998,74.449997,75.129997,62.653023,788000
2019-08-19,75.879997,75.879997,75.250000,75.339996,62.828156,702000
2019-08-20,75.150002,75.150002,74.339996,74.449997,62.085968,827500
2019-08-21,74.070000,75.900002,74.070000,75.050003,62.586315,1313800
2019-08-22,75.300003,75.470001,74.669998,74.690002,62.286102,887500
2019-08-23,74.459999,74.820000,73.190002,73.459999,61.260365,941500
2019-08-26,73.900002,74.290001,73.580002,73.870003,61.602272,710000
2019-08-27,73.989998,74.260002,73.370003,73.599998,61.377121,752500
2019-08-28,73.500000,74.279999,73.449997,73.900002,61.627312,608300
2019-08-29,74.190002,75.150002,74.190002,74.800003,62.377846,669600
2019-08-30,75.059998,75.440002,74.620003,74.760002,62.344479,699600
2019-09-03,74.580002,74.610001,73.760002,74.550003,62.169365,621900
2019-09-04,75.000000,75.320000,74.790001,75.139999,62.661366,717500
2019-09-05,75.570000,76.480003,75.570000,76.059998,63.428574,689100
2019-09-06,76.330002,76.680000,76.150002,76.550003,63.837212,561700
2019-09-09,76.889999,76.980003,76.519997,76.900002,64.129074,813300
2019-09-10,76.910004,78.000000,76.820000,77.839996,64.912971,750600
2019-09-11,77.360001,78.349998,77.160004,78.250000,65.254883,2076100
2019-09-12,77.919998,79.000000,77.809998,78.790001,65.705208,1990300
2019-09-13,78.940002,79.510002,78.720001,79.330002,66.155540,1761200
2019-09-16,79.010002,79.610001,78.639999,79.500000,66.297310,902700
2019-09-17,79.160004,80.349998,78.970001,79.949997,66.672577,827400
2019-09-18,79.800003,80.279999,79.760002,80.019997,66.730934,967400
2019-09-19,80.019997,80.849998,80.019997,80.580002,67.197945,892600
2019-09-20,80.620003,81.500000,80.589996,81.309998,67.806717,1209300
2019-09-23,80.870003,81.199997,80.739998,80.980003,67.531525,682000
2019-09-24,81.070000,81.400002,80.470001,80.639999,67.247978,1055300
2019-09-25,80.489998,81.250000,80.349998,81.010002,67.556534,985500
2019-09-26,81.059998,81.260002,80.900002,80.900002,67.464798,753100
2019-09-27,81.279999,81.570000,80.779999,81.080002,67.614914,843500
